date,rate
2019-03-08,1787.37 
2019-03-07,1791.62 
2019-03-06,1792.38 
2019-03-05,1797.42 
2019-03-04,1800.75 
2019-03-03,1800.74 
2019-03-02,1800.72 
2019-03-01,1800.69 
2019-02-28,1815.66 
2019-02-27,1811.82 
2019-02-26,1814.46 
2019-02-25,1812.55 
2019-02-24,1812.53 
2019-02-23,1812.51 
2019-02-22,1811.12 
2019-02-21,1811.98 
2019-02-20,1802.11 
2019-02-19,1805.25 
2019-02-18,1799.65 
2019-02-17,1799.63 
2019-02-16,1799.61 
2019-02-15,1810.01 
2019-02-14,1801.59 
2019-02-13,1798.05 
2019-02-12,1794.54 
2019-02-11,1792.84 
2019-02-10,1792.83 
2019-02-09,1792.81 
2019-02-08,1804.13 
2019-02-07,1804.07 
2019-02-06,1804.05 
2019-02-05,1804.03 
2019-02-04,1804.01 
2019-02-03,1803.99 
2019-02-02,1803.97 
2019-02-01,1804.05 
2019-01-31,1803.54 
2019-01-30,1794.69 
2019-01-29,1792.31 
2019-01-28,1793.21 
2019-01-27,1793.20 
2019-01-26,1793.18 
2019-01-25,1779.84 
2019-01-24,1773.81 
2019-01-23,1767.66 
2019-01-22,1770.63 
2019-01-21,1770.59 
2019-01-20,1770.57 
2019-01-19,1770.55 
2019-01-18,1764.95 
2019-01-17,1764.49 
2019-01-16,1760.83 
2019-01-15,1745.99 
2019-01-14,1751.06 
2019-01-13,1751.04 
2019-01-12,1751.02 
2019-01-11,1747.42 
2019-01-10,1747.11 
2019-01-09,1730.89 
2019-01-08,1737.40 
2019-01-07,1724.15 
2019-01-06,1724.13 
2019-01-05,1724.11 
2019-01-04,1718.70 
2019-01-03,1726.45 
2019-01-02,1737.23 
2019-01-01,1737.21 
2018-12-31,1737.19 
2018-12-30,1737.17 
2018-12-29,1737.15 
2018-12-28,1733.24 
2018-12-27,1720.51 
2018-12-26,1730.62 
2018-12-25,1730.60 
2018-12-24,1732.07 
2018-12-23,1732.05 
2018-12-22,1732.03 
2018-12-21,1733.90 
2018-12-20,1742.34 
2018-12-19,1735.44 
2018-12-18,1739.41 
2018-12-17,1737.86 
2018-12-16,1737.84 
2018-12-15,1737.82 
2018-12-14,1749.07 
2018-12-13,1744.96 
2018-12-12,1735.67 
2018-12-11,1736.92 
2018-12-10,1744.95 
2018-12-09,1744.93 
2018-12-08,1744.91 
2018-12-07,1742.52 
2018-12-06,1753.63 
2018-12-05,1757.40 
2018-12-04,1764.25 
2018-12-03,1749.93 
2018-12-02,1749.91 
2018-12-01,1749.88 
2018-11-30,1755.43 
2018-11-29,1752.73 
2018-11-28,1749.55 
2018-11-27,1742.62 
2018-11-26,1733.12 
2018-11-25,1733.10 
2018-11-24,1733.08 
2018-11-23,1737.32 
2018-11-22,1738.76 
2018-11-21,1742.63 
2018-11-20,1751.10 
2018-11-19,1746.85 
2018-11-18,1746.83 
2018-11-17,1746.80 
2018-11-16,1746.52 
2018-11-15,1737.61 
2018-11-14,1740.72 
2018-11-13,1746.28 
2018-11-12,1744.30 
2018-11-11,1744.28 
2018-11-10,1744.25 
2018-11-09,1746.96 
2018-11-08,1740.90 
2018-11-07,1744.39 
2018-11-06,1740.33 
2018-11-05,1746.92 
2018-11-04,1746.90 
2018-11-03,1746.87 
2018-11-02,1717.81 
2018-11-01,1721.30 
2018-10-31,1718.49 
2018-10-30,1715.74 
2018-10-29,1720.84 
2018-10-28,1720.81 
2018-10-27,1720.79 
2018-10-26,1733.46 
2018-10-25,1746.36 
2018-10-24,1751.30 
2018-10-23,1770.78 
2018-10-22,1768.43 
2018-10-21,1768.40 
2018-10-20,1768.38 
2018-10-19,1765.92 
2018-10-18,1772.87 
2018-10-17,1760.20 
2018-10-16,1759.85 
2018-10-15,1764.87 
2018-10-14,1764.85 
2018-10-13,1764.82 
2018-10-12,1753.10 
2018-10-11,1789.06 
2018-10-10,1797.31 
2018-10-09,1797.28 
2018-10-08,1802.57 
2018-10-07,1802.55 
2018-10-06,1802.52 
2018-10-05,1807.43 
2018-10-04,1824.60 
2018-10-03,1824.57 
2018-10-02,1836.23 
2018-10-01,1838.47 
2018-09-30,1838.44 
2018-09-29,1838.42 
2018-09-28,1841.85 
2018-09-27,1834.75 
2018-09-26,1834.73 
2018-09-25,1834.70 
2018-09-24,1834.68 
2018-09-23,1834.65 
2018-09-22,1834.63 
2018-09-21,1827.95 
2018-09-20,1827.16 
2018-09-19,1828.16 
2018-09-18,1825.51 
2018-09-17,1834.59 
2018-09-16,1834.57 
2018-09-15,1834.54 
2018-09-14,1824.72 
2018-09-13,1823.48 
2018-09-12,1822.97 
2018-09-11,1827.78 
2018-09-10,1821.92 
2018-09-09,1821.90 
2018-09-08,1821.88 
2018-09-07,1822.63 
2018-09-06,1825.11 
2018-09-05,1834.71 
2018-09-04,1831.27 
2018-09-03,1836.41 
2018-09-02,1836.39 
2018-09-01,1836.37 
2018-08-31,1829.57 
2018-08-30,1831.70 
2018-08-29,1830.00 
2018-08-28,1827.96 
2018-08-27,1824.25 
2018-08-26,1824.22 
2018-08-25,1824.20 
2018-08-24,1818.81 
2018-08-23,1817.38 
2018-08-22,1817.73 
2018-08-21,1809.12 
2018-08-20,1806.66 
2018-08-19,1806.63 
2018-08-18,1806.61 
2018-08-17,1804.72 
2018-08-16,1809.45 
2018-08-15,1809.43 
2018-08-14,1804.41 
2018-08-13,1817.93 
2018-08-12,1817.90 
2018-08-11,1817.88 
2018-08-10,1823.91 
2018-08-09,1822.80 
2018-08-08,1823.44 
2018-08-07,1820.18 
2018-08-06,1824.50 
2018-08-05,1824.47 
2018-08-04,1824.44 
2018-08-03,1817.01 
2018-08-02,1830.47 
2018-08-01,1827.16 
2018-07-31,1826.52 
2018-07-30,1825.87 
2018-07-29,1825.84 
2018-07-28,1825.81 
2018-07-27,1823.01 
